algId,DIM,funcId,worst recorded,worst reached,best reached,mean reached,median reached,runs,succ,budget
(1+10) EA_normalized,625,22,-203102,264,276,270.90909090909093,270,11,3,1953125
(1+10) EA_normalized,625,23,-28600,24,25,24.363636363636363,24,11,4,1953125
(1+10) EA_normalized,625,3,90003,195625,195625,195625,195625,11,11,7715
(1+10) EA_normalized,625,4,148,312,312,312,312,11,11,4918
(1+10) EA_normalized,625,5,271,562,562,562,562,11,11,8578
(1+10) EA_normalized,625,6,91,208,208,208,208,11,11,7210
(1+10) EA_normalized,625,7,300,555,582,569.6363636363636,570,11,2,1953125
(1+10) EA_normalized,625,8,144,314,314,314,314,11,11,203422
(1+10) EA_normalized,625,9,291,625,625,625,625,11,11,1137583
(1+10) EA_var_ctrl,625,1,295,625,625,625,625,11,11,6781
(1+10) EA_var_ctrl,625,10,289,289,429,384,389,11,1,1953125
(1+10) EA_var_ctrl,625,11,0,312,312,312,312,11,11,82313
(1+10) EA_var_ctrl,625,12,0,562,562,562,562,11,11,156484
(1+10) EA_var_ctrl,625,13,0,208,208,208,208,11,11,67372
(1+10) EA_var_ctrl,625,14,0,11,58,29.454545454545453,27,11,1,1953125
(1+10) EA_var_ctrl,625,15,1,314,314,314,314,11,11,329391
(1+10) EA_var_ctrl,625,16,0,625,625,625,625,11,11,648263
(1+10) EA_var_ctrl,625,17,2,294,574,423.09090909090907,439,11,1,1953125
(1+10) EA_var_ctrl,625,18,0.841328,3.67765,4.33835,3.970661818181818,3.89721,11,1,1953125
(1+10) EA_var_ctrl,625,2,0,625,625,625,625,11,11,202241
(1+10) EA_var_ctrl,625,22,-241141,266,276,271.27272727272725,272,11,3,1953125
(1+10) EA_var_ctrl,625,23,-29367,21,23,22.09090909090909,22,11,2,1953125
(1+10) EA_var_ctrl,625,3,92685,195625,195625,195625,195625,11,11,7261
(1+10) EA_var_ctrl,625,4,144,312,312,312,312,11,11,5063
(1+10) EA_var_ctrl,625,5,268,562,562,562,562,11,11,7231
(1+10) EA_var_ctrl,625,6,89,208,208,208,208,11,11,8731
(1+10) EA_var_ctrl,625,7,281,490,505,496,495,11,1,1953125
(1+10) EA_var_ctrl,625,8,150,314,314,314,314,11,11,97119
(1+10) EA_var_ctrl,625,9,282,625,625,625,625,11,11,821084
EDA,625,1,277,625,625,625,625,11,11,10850
EDA,625,10,286,625,625,625,625,11,11,394300
EDA,625,11,0,312,312,312,312,11,11,291250
EDA,625,12,0,312,312,312,312,11,11,276300
EDA,625,13,0,208,208,208,208,11,11,308650
EDA,625,14,0,5,13,8.636363636363637,8,11,1,1953150
EDA,625,15,1,208,215,211.36363636363637,211,11,1,1953150
EDA,625,16,0,238,350,283.09090909090907,276,11,1,1953150
EDA,625,17,1,49,84,65.0909090909091,69,11,1,1953150
EDA,625,18,0.895009,4.261116,4.546804,4.460722818181818,4.490768,11,1,1953150
EDA,625,2,0,418,431,422.27272727272725,421,11,1,1953150
EDA,625,22,-218063,268,278,272.3636363636364,272,11,1,1953150
EDA,625,23,-28525,23,24,23.272727272727273,23,11,3,1953150
EDA,625,3,92097,195619,195625,195623.72727272726,195624,11,5,1953150
EDA,625,4,141,312,312,312,312,11,11,7550
EDA,625,5,269,562,562,562,562,11,11,12150
EDA,625,6,97,208,208,208,208,11,11,24600
EDA,625,7,281,488,505,499.1818181818182,500,11,1,1953150
EDA,625,8,144,314,314,314,314,11,11,12050
EDA,625,9,299,625,625,625,625,11,11,14250
(1+1) fGA,625,1,282,625,625,625,625,11,11,13130
(1+1) fGA,625,10,285,549,564,556.2727272727273,559,11,2,1953125
(1+1) fGA,625,11,0,312,312,312,312,11,11,105414
(1+1) fGA,625,12,0,562,562,562,562,11,11,276438
(1+1) fGA,625,13,1,208,208,208,208,11,11,55942
(1+1) fGA,625,14,0,35,119,62.27272727272727,59,11,1,1953125
(1+1) fGA,625,15,1,314,314,314,314,11,11,403098
(1+1) fGA,625,16,0,625,625,625,625,11,11,580905
(1+1) fGA,625,17,2,499,625,587.2727272727273,604,11,1,1953125
(1+1) fGA,625,18,0.832378,3.72905,4.31458,4.102894545454546,4.13132,11,1,1953125
(1+1) fGA,625,2,0,625,625,625,625,11,11,316976
(1+1) fGA,625,22,-206842,266,280,274.1818181818182,274,11,2,1953125
(1+1) fGA,625,23,-29145,24,25,24.181818181818183,24,11,2,1953125
(1+1) fGA,625,3,92836,195625,195625,195625,195625,11,11,10993
(1+1) fGA,625,4,143,312,312,312,312,11,11,7377
(1+1) fGA,625,5,252,562,562,562,562,11,11,12146
(1+1) fGA,625,6,95,208,208,208,208,11,11,4144
(1+1) fGA,625,7,293,564,584,575.3636363636364,576,11,1,1953125
(1+1) fGA,625,8,150,314,314,314,314,11,11,889761
(1+1) fGA,625,9,293,622,625,624.2727272727273,624,11,5,1953125
"(30,30) vGA",625,1,296,356,625,600.4545454545455,625,11,9,1953200
"(30,30) vGA",625,10,290,359,524,477.6363636363636,519,11,5,1953200
"(30,30) vGA",625,11,0,12,312,109.9090909090909,15,11,3,2343800
"(30,30) vGA",625,12,0,11,524,317.3636363636364,398,11,1,2343800
"(30,30) vGA",625,13,0,12,208,120,208,11,6,2343800
"(30,30) vGA",625,14,0,12,187,62.72727272727273,63,11,1,2343800
"(30,30) vGA",625,15,1,7,250,115.45454545454545,106,11,1,2343800
"(30,30) vGA",625,16,0,10,360,91.81818181818181,14,11,1,2343800
"(30,30) vGA",625,17,2,18,279,113.81818181818181,114,11,1,2343800
"(30,30) vGA",625,18,0.893421,1.37792,3.92477,2.929080909090909,3.70528,11,1,1953200
"(30,30) vGA",625,2,0,11,512,176.54545454545453,14,11,1,1953200
"(30,30) vGA",625,22,-213085,-146367,-130777,-139899.36363636365,-140126,11,1,1953200
"(30,30) vGA",625,23,-29021,-23847,-22116,-22903.18181818182,-22957,11,1,1953200
"(30,30) vGA",625,3,86387,195621,195625,195624.63636363635,195625,11,10,1953200
"(30,30) vGA",625,4,137,186,312,289.8181818181818,312,11,9,1953200
"(30,30) vGA",625,5,262,324,562,540.3636363636364,562,11,10,1953200
"(30,30) vGA",625,6,79,130,208,200.9090909090909,208,11,10,1953200
"(30,30) vGA",625,7,296,358,521,493.45454545454544,505,11,1,1953200
"(30,30) vGA",625,8,149,178,309,260.72727272727275,306,11,1,1953200
"(30,30) vGA",625,9,298,598,608,602.1818181818181,602,11,1,1953200
RLS,625,1,294,625,625,625,625,11,11,4847
RLS,625,10,293,294,349,320.3636363636364,319,11,1,1953125
RLS,625,11,0,312,312,312,312,11,11,113280
RLS,625,12,0,562,562,562,562,11,11,202403
RLS,625,13,0,208,208,208,208,11,11,58661
RLS,625,14,0,2,51,20.363636363636363,6,11,1,1953125
RLS,625,15,1,314,314,314,314,11,11,267864
RLS,625,16,0,625,625,625,625,11,11,364431
RLS,625,17,1,625,625,625,625,11,11,1795851
RLS,625,18,0.754627,3.70556,4.13552,3.9850745454545455,4.00493,11,1,1953125
RLS,625,2,0,625,625,625,625,11,11,213965
RLS,625,22,-208097,262,272,266.72727272727275,266,11,2,1953125
RLS,625,23,-28822,21,23,22.181818181818183,22,11,3,1953125
RLS,625,3,87817,195625,195625,195625,195625,11,11,4929
RLS,625,4,146,312,312,312,312,11,11,5008
RLS,625,5,273,562,562,562,562,11,11,4517
RLS,625,6,96,208,208,208,208,11,11,3274
RLS,625,7,299,485,501,489.1818181818182,487,11,1,1953125
RLS,625,8,148,314,314,314,314,11,11,417958
RLS,625,9,303,306,332,317.27272727272725,318,11,1,1953125
"(1+(λ,λ)) GA",16,1,5,16,16,16,16,11,11,145
"(1+(λ,λ)) GA",64,1,28,64,64,64,64,11,11,496
"(1+(λ,λ)) GA",100,1,39,100,100,100,100,11,11,688
"(1+(λ,λ)) GA",16,10,1,15,15,15,15,11,11,25600
"(1+(λ,λ)) GA",64,10,24,53,58,53.45454545454545,53,11,1,409600
"(1+(λ,λ)) GA",100,10,40,74,89,81.27272727272727,84,11,1,1000000
"(1+(λ,λ)) GA",16,11,0,8,8,8,8,11,11,251
"(1+(λ,λ)) GA",64,11,0,32,32,32,32,11,11,4235
"(1+(λ,λ)) GA",100,11,0,50,50,50,50,11,11,9052
"(1+(λ,λ)) GA",16,12,0,14,14,14,14,11,11,344
"(1+(λ,λ)) GA",64,12,0,57,57,57,57,11,11,8768
"(1+(λ,λ)) GA",100,12,0,90,90,90,90,11,11,18758
"(1+(λ,λ)) GA",16,13,0,5,5,5,5,11,11,78
"(1+(λ,λ)) GA",64,13,0,21,21,21,21,11,11,3643
"(1+(λ,λ)) GA",100,13,0,33,33,33,33,11,11,12937
"(1+(λ,λ)) GA",16,14,0,11,16,15.090909090909092,16,11,9,25600
"(1+(λ,λ)) GA",64,14,0,7,47,24.727272727272727,23,11,2,409600
"(1+(λ,λ)) GA",100,14,0,15,65,28.636363636363637,27,11,1,1000000
"(1+(λ,λ)) GA",16,15,1,9,9,9,9,11,11,646
"(1+(λ,λ)) GA",64,15,1,33,33,33,33,11,11,20369
"(1+(λ,λ)) GA",100,15,1,51,51,51,51,11,11,73064
"(1+(λ,λ)) GA",16,16,0,16,16,16,16,11,11,1121
"(1+(λ,λ)) GA",64,16,0,64,64,64,64,11,11,45171
"(1+(λ,λ)) GA",100,16,0,100,100,100,100,11,11,95888
"(1+(λ,λ)) GA",16,17,0,16,16,16,16,11,11,4686
"(1+(λ,λ)) GA",64,17,2,64,64,64,64,11,11,175042
"(1+(λ,λ)) GA",100,17,0,100,100,100,100,11,11,563624
"(1+(λ,λ)) GA",16,18,0.551724,4,5.33333,4.623376363636364,4.57143,11,3,25600
"(1+(λ,λ)) GA",64,18,0.592593,3.76471,4.65455,4.249121818181818,4.26667,11,1,409600
"(1+(λ,λ)) GA",100,18,0.693481,3.25945,4.87329,4.101490909090909,3.97456,11,1,1000000
"(1+(λ,λ)) GA",16,2,0,16,16,16,16,11,11,263
"(1+(λ,λ)) GA",64,2,0,64,64,64,64,11,11,8557
"(1+(λ,λ)) GA",100,2,0,100,100,100,100,11,11,18235
"(1+(λ,λ)) GA",16,22,-275,6,8,7.818181818181818,8,11,10,25600
"(1+(λ,λ)) GA",64,22,-2841,24,32,28.90909090909091,30,11,1,409600
"(1+(λ,λ)) GA",100,22,-6644,40,46,43.27272727272727,44,11,3,1000000
"(1+(λ,λ)) GA",16,23,-70,4,4,4,4,11,11,2083
"(1+(λ,λ)) GA",64,23,-950,7,8,7.818181818181818,8,11,9,409600
"(1+(λ,λ)) GA",100,23,-1605,9,10,9.818181818181818,10,11,9,1000000
"(1+(λ,λ)) GA",16,3,61,136,136,136,136,11,11,89
"(1+(λ,λ)) GA",64,3,828,2080,2080,2080,2080,11,11,711
"(1+(λ,λ)) GA",100,3,2361,5050,5050,5050,5050,11,11,1879
"(1+(λ,λ)) GA",16,4,3,8,8,8,8,11,11,54
"(1+(λ,λ)) GA",64,4,9,32,32,32,32,11,11,354
"(1+(λ,λ)) GA",100,4,22,50,50,50,50,11,11,576
"(1+(λ,λ)) GA",16,5,3,14,14,14,14,11,11,87
"(1+(λ,λ)) GA",64,5,25,57,57,57,57,11,11,452
"(1+(λ,λ)) GA",100,5,39,90,90,90,90,11,11,978
"(1+(λ,λ)) GA",16,6,1,5,5,5,5,11,11,53
"(1+(λ,λ)) GA",64,6,6,21,21,21,21,11,11,525
"(1+(λ,λ)) GA",100,6,12,33,33,33,33,11,11,1902
"(1+(λ,λ)) GA",16,7,3,16,16,16,16,11,11,12290
